Job Code,Title,Hashtag,Description,Last Login,Posted By,Position,Posted In,Location,Views,Applications,Recruiter Actions
825075,Growth Manager - FinTech (3-8 yrs),#Growth Hacking #BFSI Marketing #Marketing #Market Intelligence #Sales #BFSI Sales #IT Product Sales #IT Product Marketing,"As a Growth Manager, you will bring creative energy and drive innovation as you manage high impact initiatives related to growing Company's business. In the position, you will have the ability to quickly identify, prioritize, and execute on opportunities that drive revenue growth.

Job Responsibilities :

- Utilize marketing intelligence to vet key segments and target

- Listen and understand customer's pressure and critical business issues to develop burning platforms

- Develop account and opportunity plans to coordinate the team to grow sales to advance and deliver results

- Oversee the on-boarding of new business

- Coordinates and directs strategic resource team

- Set and manage budget for sales growth and new business development

- Develop best practices utilizing Sales Excellence methodology

- Assist with on-going training for strategic growth resource teams

- Stay appropriately networked to stay aware of industry and market trends

- Design and implement metrics to monitor the success of processes, and refine the process flow based on actual on-ground feedback

- Work closely with the Tech and Product team to solve for problems at the ground level using technology.

- Build and grow best-in-class partner network across services

- Create systems to evaluate and improve partner performance

DESIRED QUALIFICATIONS :

- 3+ years of work-experience

- Analytical mindset and problem solving comes naturally to you

- A desire to understand consumer behavior and mindset

- Understand and love technology. You see every problem from a technology lens

- Comfortable working hands-on in a fast-paced start-up environment

- Curious about metrics, execution processes and keeping an eye out for details",29 May 2020,Rajat,HR Associate at Talentiser,Sales & Marketing Jobs,Mumbai,2038,521,49
819601,Growth Hacker/Marketing Head - FinTech/BFS (3-7 yrs),#Marketing #Growth Hacking #Marketing Head #Product Marketing #Web Analytics #Go To Market #BFSI Marketing #IT Product Marketing,"We are excited to onboard someone to lead pre and post product launch pieces for us. You will be developing marketing strategies and work with cross-functional teams to ensure smooth execution of programs to drive adoption amongst new customer segments and markets while retaining and expanding the existing customer base. This role is focused on business growth and requires long-term thinking as well as a short-term execution mindset. You'll be responsible for presenting our products in ways that will strengthen our brand and boost sales. Your goal will be to develop and implement the most profitable plans to position and promote our products.

Job Responsibilities:

- Study the company's existing and future products.

- Follow and analyze market trends to position the product.

- Define and execute marketing strategies & launch plans with revenue & market share responsibility.

- Develop product marketing priorities partnering with Business Leaders, Marketing Team, Product Team, Channel partners & other internal/external facing teams, including strategies to grow revenue and reach new customers while also upgrading existing users.

- Devise ROI-maximizing digital marketing programs to meet product awareness and acquisition objectives.

- Develop strong benefits-focused messaging with customer insights in partnership with product managers to successfully communicate the value proposition to all customers and prospect segments.

- Deep knowledge of customers and competitive marketing programs, which is used to develop effective marketing programs and messages.

- Develop & manage the marketing budget for the product line to meet marketing objectives & measures the results of marketing programs.

- Plan and conduct regional, product and segment-specific research to understand the awareness, usage, positioning resonance, competitive landscape, customer segmentation, and customer satisfaction drivers.

- Act as a product, domain and market expert through presentations & demo videos and onboarding videos to customers.

Preferred Background and Experience (Must Haves):



- 5+ Years- experience in Marketing.

- Exposure to FinTech space and understanding of the stock market.

- Experience in launching at least 1 B2C product.

- Exposure of managing at least 1 Mobile product.

- Familiar with product marketing tactics - eg. Integrated marketing campaigns, performance, content, etc.

- Working knowledge of web analytics tools (Google Analytics, WebTrends)

- Breadth and Depth in:

a) Pre-product launch

b) Go-to-Market strategy

c) Post product launch

Key Competencies and Attributes Required:

- Strong business acumen.

- Entrepreneurial mindset with an ability to take complete ownership.

- You have been a creative and quantitative thinker.

- Astounding collaborative approach.

- Strong analytical capabilities.

- The ability to handle pressure and meet deadlines.

- High passion, solution-oriented and attention to detail.

- Self-starter with demonstrated ability to deliver value through own initiative.

- The ideal candidate will thrive as a leader of cross-functional teams and have a strong bias for action.

Perks of joining us:

- A fast-paced, mentally stimulating and fast growth-oriented environment.

- No bureaucracy whatsoever, respect for logical and analytical minds.

- Witness the venture of entrepreneurship.

- Excellent performance bonuses and perks.

- Affable and competitive teammates.

- Flexible leave regime.",18 May 2020,Sweni,Business Head at Synapse Search Partners,Sales & Marketing Jobs,Mumbai,1057,264,227
819941,CoinDCX - Growth Hacker (2-3 yrs),#Marketing #Growth Hacking #BFSI Marketing #Digital Marketing #Email Marketing,"Imagine :

- Cryptocurrency Traders are looking for a strong global platform that can help them trade faster, better and smarter. We have a platform that can solve their needs. Now we need to scale the number of active users multi-fold . Now there's a gap we want YOU to address.

- You fulfill the needs, wants and desires of our patrons by finding the key levers that enable them to use our platforms better. You help them do more. As the Growth Marketing, you ensure all of the above and more. You make a difference.

Key Role & Responsibilities :

- Operate closely with the growth, product, and marketing teams to identify high leverage growth opportunities

- Democratize growth idea generation across the team internally, and conduct external research to generate insights, ideas, and opportunities

- Own the entire growth process of prioritization, testing, and analyzing rigorously in coordination with the Product and Marketing Team

- Organize the testing history and all the key learning of the growth team at a single source which the entire team can access at any point in time

- Systematize and automate the ideas that have worked for the team within the respective team

- Evangelize growth across the team including Customer Success, Engineering, Finance, etc.

Must have skills :

- Must be well versed with product and marketing analytics including GA, Amplitude, etc.

- Must come with a couple of years of experience in Content, Influencer, Viral, Email, and Digital Marketing

- Should be entrepreneurial as the role demands risk and high accountability

- Should be creative and highly disciplined at the same time

- Should understand product-led growth along with the marketing/brand-led growth

- Should be analytical as growth teams are heavily data-driven

- Leadership skills to keep the team aligned and motivated",13 May 2020,Sumit Gupta,Founder at CoinDCX,Sales & Marketing Jobs,Mumbai,661,118,3
823991,SaaS Sales Manager - FinTech (2-6 yrs),#B2B Sales #Corporate Sales #Sales #Key Account Management #IT Product Sales #BFSI Sales #Client Relationships,"What You'll Do

- Establish and grow relationships with decision makers / influencers within major clients

- Actively identify and pursue new revenue opportunities

- Report on sales solutions, impressions and related metrics

- Client servicing and Key account management

- Meet the assigned quarterly revenue targets

- Keep up to date with trends and developments in the digital industry to gain early insights into new business opportunities

What We're Looking For

- MBA in Marketing, preferably with 2 to 5 years previous experience in marketing and sales preferably from banking or financial industry

- Numbers-driven with strong analytical skills and experience using web analytics

- Excellent communication, interpersonal, convincing, analytical and problem solving skills

- Strong negotiator, collaborator and team player

- High on initiative. Conveys a sense of urgency and drives issues to closure, persists despite obstacles and ambiguities

What Is In Store

- An opportunity to work on an exciting product

- An open set-up where you can try new things

- Market-premium salary plus lucrative stock options

- Flexible working hours and supportive team

- Generous perks and benefits",27 May 2020,Maitri,HR at Ave Promagne,Sales & Marketing Jobs,Mumbai,2211,497,47
824517,d.light - Marketing Strategist - IIM/ISB/FMS/MDI (3-5 yrs),#Marketing #Energy Product Marketing #Market Intelligence,"d.light - Marketing Strategist

Key Responsibilities :

1. Driving 'Purpose-driven strategy' of transforming customers lives.

2. Design and implement holistic marketing strategies aligned with business targets.

3. Innovation & portfolio management - drive regional product roadmap through innovation, phase-gate process and operational excellence.

4. Consumer insights & research design & run experiments to identify new opportunities, forecast market trends, boost revenue through existing portfolio.

5. Category & PnL management ownership of value chain, developing cash flow models and business proposals to meet financial goals.

6. Engage with suppliers on new projects, cost reduction and optimization opportunities.

7. Evaluate key performance indicators, provide ongoing reports, and recommend business plan updates.

8. Manage monthly dashboards for marketing excellence, inventory updates, project tracker, and raising a red flag for the areas needing attention.

9. Develop and implement data analyses, leverage data collection systems and other strategies that optimize Business and Customer satisfaction.

10. Support channel with market intelligence, competition insights and sales promotion campaigns.

11. Managing/updating marketing repository, developing product launch kits highlighting FAB (Features, Attributes, and Benefits) for the portfolio.

12. Cross-functional collaboration and managing key stakeholders through regular updates for the on-going/upcoming projects.

Successful Candidate Profiles :

1. MBA/PGDM in Marketing from a premier institute

2. Advanced analytical skills with experience in collecting, organizing, analysing, and disseminating abundant information with accuracy

3. Deep Experience with managing budgets, cash-flow models and business proposals

4. Exceptional verbal, written and visual communication skills

5. Self-motivated, self-driven with a solution-finding approach/thinking

6. Demonstrate high values of ownership in a dynamic and fast-paced-culture

7. Attention to detail, ability to prioritize and organize

8. Excellent knowledge of MS Office, in particular MS Excel, Word and PowerPoint

9. Ability to work independently with minimum supervision

10. Should be willing to travel (even to remote locations)",28 May 2020,Garima Singh,Assistant Manager - Human Resources at d.light,Sales & Marketing Jobs,Gurgaon/Gurugram,989,286,32
823795,Klef - Co-founder - Growth Hacker - IIT/NIT/IIM/ISB (0-10 yrs),#Growth Hacking #Cofounder #Marketing #Digital Marketing,"Klef - Co-founder - Growth Hacker

Who are we :

- We are an early-stage e-commerce startup targeting audio electronics in India.

- We are a bootstrapped venture started by an ISB alum. We have initial traction of 1000+ sales.

More about brand Klef :

- Klef - a brand that doesn't just offer you the electronics and audio accessories you've been waiting for, but a brand that allows you to reimagine your entire lifestyle with premium quality products made just for you.

- Through a unique combination of technical excellence, innovation, and a passionate commitment to your complete satisfaction, we've created products that ensure you are always a step ahead. It is an approach that allows you to enjoy design, quality, and affordability at the same time.

Job Description :

What are we looking for :

- Do you have Entrepreneurial appetite

- Do you have top pedigree (Tier 1, Engineering, MBA)

- Are you hands-on with good problem-solving ability

We're looking for a Growth Hacker to drive Sales and Revenue growth through a process of Lead Generation -> Prospect Qualification -> Customer Acquisition -> Customer Success and Revenue Generation and growth.

Key skills we are looking for :

- Digital marketing experience or the willingness to learn

- E-commerce experience or the willingness to learn

- Outstanding communication and interpersonal skills

- Fanatical about customer advocacy

- Prior startup experience is a huge plus but not mandatory

- Deep understanding of changing market dynamics

- High standards of excellence and attention to detail

- Entrepreneurial spirit.

- Motivated self-starter.

What is in it for you :

- Chance to create and be part of something BIG

- Come on board as a Cofounder

- Equity stake in the firm

Location : Gurgaon

Job Role : Full-time

This role is for an equity position in the company.",29 May 2020,Klef,CEO at Klef,Sales & Marketing Jobs,Gurgaon/Gurugram,1584,238,13
822994,Manager - Growth - eCommerce - IIM/MDI/ISB/FMS (2-7 yrs),#Marketing #Growth Hacking #Campaign Management,"Job description:

- The person would be a part of the Seller Growth team and would be responsible for ensuring the business growth of the organization

- This would involve driving business growth strategies by designing various growth aspects

- The person would also be actively working on various partnerships with other organizations who would provide these services

- Designing marketing campaigns for launch will also be one of the key responsibilities

Qualifications and experience:

- Tier 1 MBA graduates of 2017/2018 pass outs will be only considered

- Extremely strong analytical orientation/bent of mind and customer understanding

- Program management skills, interpersonal communication - ability to work with multiple cross-functional teams

- Special preference will be given to female candidates",29 May 2020,Roshni Mondal,Executive - Human Resources at YellowBox HR Services Pvt. Ltd.,Sales & Marketing Jobs,Bangalore,1162,385,36
820325,Quvideo - Organic Growth Manager - Video App (3-6 yrs),#Growth Hacking #Social Media #Marketing #Online Marketing,"Looking for a Organic Growth Manager for a video creating app !!

1. Explore, identify and execute on strategic growth opportunities for both VivaVideo & VivaCut app, including but not limited to organic growth through social media.

2. Experiment & explore new organic growth methods through channels such as WhatsApp, TikTok, Instagram etc.

3. Achieve growth and acquisition objectives by optimizing existing video editing tools and discover new opportunities to improve.

4. Provide local insights - identify strengths, weaknesses, opportunities and threats relevant for VivaVideo's success in India

5. Ensure the QuVideo family of apps is fully functional and well adapted to be successful in India

6. Track key metrics on regular basis & Partner with the data team to validate key findings with data",28 May 2020,Sapna,HR at Quvideo,Sales & Marketing Jobs,Bangalore,714,172,150
821561,Organic Growth Manager - Internet/Online (2-6 yrs),#SEM / SEO #Marketing #Growth Hacking #Social Media #Content Marketing #Digital Marketing,"- Build strategy and execute the same to drive organic growth

- Build strategic partnership to drive organic growth

- Create brand awareness strategy

- Planning and executing SEO strategy

- Building an engaging community users

- Leverage new organic growth channels like whatsapp, TikTok, facebook etc.

- Experiment with viral content

- Track key metrics on regular basis & Partner with the data team to validate key findings with data

Experience and skills:

- 3+ years of experience in organic growth role for a mobile first internet company

- Hands on experience of SEO, ASO and content marketing

- Medium to high proficiency on analytics

- Deep understanding of user behaviour on social media applications like facebook, tiktok, whatsapp and content platforms like youtube.

- Deep understanding of tier2 and below users of India

- Previous experience of building a internet community would be preferable",26 May 2020,Arjun Malhotra,Partner - Recruitment at Talent Pipeline,Sales & Marketing Jobs,Bangalore,947,240,206
821411,Rheo - Growth Manager (1-5 yrs),#Digital Marketing #Growth Hacking #Social Media #Campaign Management #Marketing #Web Analytics,"We're looking for the Growth Manager to own all growth-related marketing and product tasks. This role is responsible for driving bottom-line growth, utilizing a diverse mix of digital, offline, and growth levers both conventionally and in new novel ways. It's an opportunity of high growth as you will be joining the initial core team of the young fast-growing company.

Responsibilities :

- Responsible for the overall performance of the platform - user acquisition, activation, retention, and growth of the platform.

- Manage ASO.

- Manage social media handles of the platform.

- Managing organic and inorganic (Facebook Ad, UAC, etc.) funnels of growth.

- Coordinating with product and Analytics team for analyzing various data points and in-depth - funnel analysis.

- Well versed with the usage of various marketing and product tools like MoEngage, AppFyler, MixPanel, etc.

- Work closely with the content team for insights to get organic users.

Qualifications : 

- Knowledge of Facebook bidding, targeting, optimization, as well as web & app tracking setup and troubleshooting.

- Good understanding of virality, network effect and brand placement.",27 May 2020,Saksham Keshri,CEO at Rheo,Sales & Marketing Jobs,Bangalore,1532,389,280
