Job Code,Title,Hashtag,Description,Last Login,Posted By,Position,Posted In,Location,Views,Applications,Recruiter Actions
1234623,Trust Group - Product Associate (2-4 yrs),#IT Jobs in BFSI #IT Product Development #IT Production Support,"Designation: Assistant Manager - Product & Technology Group

Position Objective: To convert use cases provided by business groups into technology solutions.

Job Description:

Product Solutioning:

1. Collaborating with the various business groups, understand the pain points, challenges, and business use cases.

2. Jointly developing viable business solutions for various use cases identified.

3. Responsible for providing product development support i.e. understanding technical design for project/module implementation with Technology Solutioning Group.

4. Systematic Testing of the product for User Acceptance and User Experience.

5. Work with Internal customers to resolve their issues, identify opportunities for automation to minimize manual intervention.

6. Thorough analysis for issues faced by the product team and provide effective solutions.

7. Prepare User Guides and train users on newly developed Systems.

8. Maintain Timely & Accurate MIS for internal Reporting.

Product Intelligence:

1. Gathering, analyzing, and acting on data about how people use your product.

2. Create user touchpoints on the application based on the data analysed.

3. Create data analytics dashboards using Python or PowerBI/Tableau for internal stakeholders.

4. Analyse time series data.

5. Create predictive algorithms using the time series data.",17 Mar 2023,Ankita,HR at Trust Group,IT & Systems Jobs,Mumbai/Navi Mumbai,8,2,0
1228319,Pactap - Technical Product Manager (2-5 yrs),#IT Product Development #IT Product Management #IT Jobs in BFSI,"Technical Product Manager

Company : PACTAP

Website: https://www.pactap.com/

Looking for an experienced Product Manager that has development and coding experience in the past to lead our product development. We want someone who is hungry to learn, and ready to work with talented engineers & management to build extremely unique and competitive products. Someone who has taken a product idea from conception to production or is interested in that would be needed.

Responsibilities :

- Running SCRUM & Agile Meetings (2 Daily Standups a Day).

- Grooming JIRA backlog, and creating tasks for our development team.

- Leading Sprint Initiatives, creating milestones, and communicating timelines.

- Working with Business team and our tech vendor directly to develop cutting-edge products.

- Well converse a remote development team - with Backend, Frontend, Android engineers.

- Being able to communicate effectively with all team members including the team members

- Creating product roadmaps, working directly on product flows, and designers. Presenting the results to the CEO/CTO.

- Thoroughly testing developers work, and being responsible for moving things from In-Review to Done on the JIRA board.

What you'll need :

- BA/BS/BTech in Engineering Degree, and MBA

- 2+ years of Product Management experience.

- You are a self-starter, you love to understand systems inside out and make it your mission to deliver quality products.

- Experience with NodeJS, SQL, AGILE and Sprints.

- Experience taking a product from conception to production.",17 Mar 2023,Akshay,Deputy General Manager at Pactap,IT & Systems Jobs,Delhi NCR,158,46,39
1226809,Product Manager - Insurance (2-5 yrs),#IT Product Management #IT Product Development #IT Jobs in BFSI,"Product Manager

Years of Experience - 2 to 3

Notice Period - Immediate/currently serving/30 days

Location - Gurgaon (on-site)

Roles and Responsibilities :

- Determining feature requirements

- Identify a new product, finalize requirements, plan, resource & deliver a new product (Ownership of delivery of product initiatives and releases)

- Researching customer experiences and demands

- Develop and define product roadmaps and feature concepts.

- Drive product development with a team of world-class engineers and designers to think boldly and creatively and then funnel that energy into concrete products and execution plans

- Deep understanding of customers, technology, and competition, to then synthesize into product strategy

- Integrate usability studies, research, and market analysis into product requirements to enhance user satisfaction

- Define, document, and communicate objectives, requirements, and constraints for the product initiatives and releases

- Define and analyze metrics for the success of products

- Improving customer experiences

- Understanding product selling points & Developing product pricing & positioning strategies

- Communicate development status and document progress toward milestones

- Maximize efficiency in a constantly evolving environment, where the process is fluid and creative solutions are the norm

- Working with PR and marketing teams to manage product launches

- Acting as a product evangelist and representing the company at public events

Desired Skills and Experience :

- Degree in Computer Science, Engineering, or a related field

- Past experience of build B2B products and managing team members with an understanding of their technical architecture

- 2-5 experience in product management role

- Proven product development ability

- Technical background with experience in software development or web technologies

- Attention to detail and good problem-solving skills. Analytical thinking",03 Mar 2023,Gejo,Recruiter at Anzy Global,IT & Systems Jobs,Gurgaon/Gurugram,237,73,54
1228319,Pactap - Technical Product Manager (2-5 yrs),#IT Product Development #IT Product Management #IT Jobs in BFSI,"Technical Product Manager

Company : PACTAP

Website: https://www.pactap.com/

Looking for an experienced Product Manager that has development and coding experience in the past to lead our product development. We want someone who is hungry to learn, and ready to work with talented engineers & management to build extremely unique and competitive products. Someone who has taken a product idea from conception to production or is interested in that would be needed.

Responsibilities :

- Running SCRUM & Agile Meetings (2 Daily Standups a Day).

- Grooming JIRA backlog, and creating tasks for our development team.

- Leading Sprint Initiatives, creating milestones, and communicating timelines.

- Working with Business team and our tech vendor directly to develop cutting-edge products.

- Well converse a remote development team - with Backend, Frontend, Android engineers.

- Being able to communicate effectively with all team members including the team members

- Creating product roadmaps, working directly on product flows, and designers. Presenting the results to the CEO/CTO.

- Thoroughly testing developers work, and being responsible for moving things from In-Review to Done on the JIRA board.

What you'll need :

- BA/BS/BTech in Engineering Degree, and MBA

- 2+ years of Product Management experience.

- You are a self-starter, you love to understand systems inside out and make it your mission to deliver quality products.

- Experience with NodeJS, SQL, AGILE and Sprints.

- Experience taking a product from conception to production.",17 Mar 2023,Akshay,Deputy General Manager at Pactap,IT & Systems Jobs,Delhi NCR,158,46,39
1224855,Staqu - Product Manager (3-5 yrs),#IT Product Management #IT Product Development,"About the Company

Staqu Technologies is an award-winning AI research firm with 7 years of experience in providing AI-based plug n play video analytics solutions across the industries like- Retail, Manufacturing, and Infrastructure. With its proprietary product JARVIS ( Joint AI Research for Video Instance and Streams), Staqu is revolutionizing safety, security, and operations using existing CCTV infrastructure, and making the world safer and smarter.

Staqu works with industry-leading technology partners to complement core technologies and provide customers with powerful and comprehensive video analytics solutions.

Job brief

We are looking for an experienced Product Manager who is passionate about building products that customers love. You will join a dynamic and fast-paced environment and work with cross-functional teams to design, build and roll-out products that deliver the company's vision and strategy.

Responsibilities

- Work with executives and business line stakeholders to define the problems to solve with AI. Help prioritize and rank the solutions, develop business cases.

- Develop AI product roadmaps and timelines.

- Lead product strategy and development of SaaS product & ML models

- Implement product management tool

- Translate product strategy into detailed requirements and prototypes.

- Scope and prioritize activities based on business and customer impact.

- Work closely with engineering teams to deliver with quick time-to-market and optimal resources

- Drive product launches include working with the executives, and other product management team members.

- Develop and manage training, validation, and test data sets.

- Act as a product evangelist to build awareness and understanding.

Requirements and skills

- Proven work experience in product management or as an associate product manager.

- Proven track record of managing all aspects of a successful product throughout its lifecycle.

- Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management.

- Solid technical background with understanding and/or hands-on experience in software development and web technologies.

- Skilled at working effectively with cross functional teams in a matrix organization.

- Excellent written and verbal communication skills.

- MS/BS degree in Computer Science, Engineering or equivalent preferred

What's on offer?

- Unlimited potential for career progression

- Industry leading training and development throughout your career

- Market Leading CTC package plus Excellent Bonus Potential

Job Location : Gurgaon",17 Mar 2023,Pooja Ahuja,Senior HR Manager at Staqu Technologies Pvt. Ltd.,IT & Systems Jobs,Gurgaon/Gurugram,421,72,62
1225990,Technical Product Manager - Motor & Cooling Application (2-10 yrs),#IT Product Management #IT Product Development,"Technical Product Manager

- We are looking for an experienced Product Manager who is passionate about building products that customers love.

- You will join a dynamic and fast-paced environment and work with cross-functional teams to design, build and roll-out products that deliver the company's vision and strategy

Responsibilities :

- Support in developing product roadmap for both motor and cooling applications

- Support in building minimal viable products

- Coordinate with internal teams such as developers, engineers, QA and operations

- Research on the new and upcoming technologies

- Support the team in prioritizing research and development projects

- Technical evaluation of competitor products

- Evaluate technical risks of product and propose risk mitigation strategies

- Support in internal training of new products

- Support in creation and maintenance of product documentation

- Coordinating beta testing of various products and features

- Define success criteria for testing and product acceptance

- Research on the technical trends in the industry

Skill set/Experience we require :

- Proven work experience in technical product management role

- Proven track record of working with designers, engineers, and various stakeholders to coordinate, plan, execute, and track product releases from beginning to end

- Outstanding project and time management skills

- Strong problem solving skills and willingness to think outside the box and roll up one's sleeves to get the job done",16 Mar 2023,Shagufta,Lead Consultant at Talhive HR Management LLP,IT & Systems Jobs,Pune,112,41,12
1224961,Product Manager - Technical - Education Sector (1-3 yrs),#IT Product Management #IT Product Development,"product manager - technical

- We are an early-stage and bootstrapped start-up in the education domain. We are seeking a multi-skilled candidate with technical and excellent interpersonal skills for the position of Astt Manager-Product Management.

- The role involves coordinating and following up with tech, design, QA and SMEs on a daily basis, working on overall product strategy, carrying out market and UX research, analysing customer feedback, road mapping, figuring ways of optimizing, and working with QA to test.

Product Manager Responsibilities:

- Determining feature requirements.

- Researching customer experiences and demands.

- Improving customer experiences.

- Outlining a detailed product strategy.

- Managing cross-functional teams.

- Managing product road maps and releases.

- Understanding product selling points.

- Identifying and filling product gaps.

- Generating new product ideas.

- Developing product pricing and positioning strategies.

- Working alongside the technology team.

- Acting as a product evangelist.

- Product Manager Requirements:

- Degree in Computer Science, Engineering, or a related field

- Previous experience of 1-2 years in a product development role.

- Technical background with experience in software development or web technologies.

- Prior experience in working on PM tools

- Ability to design wireframes , prototype etc.

- Attention to detail and good problem-solving skills.

- Excellent interpersonal skills.

- Good written and verbal communication.

- Exceptional leadership skills.",17 Mar 2023,Chandra,CEO at Consult ShekharPandey,IT & Systems Jobs,Any Location,418,138,2
1230557,Staqu - Product Manager (3-5 yrs),#IT Product Management #IT Product Development,"About the Company

Staqu Technologies is an award-winning AI research firm with 7 years of experience in providing AI-based plug n play video analytics solutions across the industries like Retail, Manufacturing, and Infrastructure. With its proprietary product JARVIS ( Joint AI Research for Video Instance and Streams), Staqu is revolutionizing safety, security, and operations using existing CCTV infrastructure, and making the world safer and smarter.

Staqu works with industry-leading technology partners to complement core technologies and provide customers with powerful and comprehensive video analytics solutions.

Job brief

- We are looking for an experienced Product Manager who is passionate about building products that customers love.

- You will join a dynamic and fast-paced environment and work with cross-functional teams to design, build and roll-out products that deliver the company's vision and strategy.

Responsibilities

- Work with executives and business line stakeholders to define the problems to solve with AI. Help prioritize and rank the solutions, develop business cases.

- Develop AI product roadmaps and timelines.

- Lead product strategy and development of SaaS product & ML models

- Implement product management tool

- Translate product strategy into detailed requirements and prototypes.

- Scope and prioritize activities based on business and customer impact.

- Work closely with engineering teams to deliver with quick time-to-market and optimal resources

- Drive product launches include working with the executives, and other product management team members.

- Develop and manage training, validation, and test data sets.

- Act as a product evangelist to build awareness and understanding.

Requirements and skills

- Proven work experience in product management or as an associate product manager.

- Proven track record of managing all aspects of a successful product throughout its lifecycle.

- Proven ability to develop product and marketing strategies and effectively communicate recommendations to executive management.

- Solid technical background with understanding and/or hands-on experience in software development and web technologies.

- Skilled at working effectively with cross functional teams in a matrix organization.

- Excellent written and verbal communication skills.

- MS/BS degree in Computer Science, Engineering or equivalent preferred

What's on offer?

- Unlimited potential for career progression

Industry leading training and development throughout -your career

- Market Leading CTC package plus Excellent Bonus Potential

Job Location : Gurgaon",17 Mar 2023,Sakshi,Research Engineer at Staqu Technologies Pvt. Ltd.,IT & Systems Jobs,Gurgaon/Gurugram,460,68,53
1226518,Silverbullet Platforms - Product Manager - Life Insurance/Health Insurance Domain (1-5 yrs),#IT Product Management #IT Jobs in BFSI,"Product Manager- ( We're looking for Domain Specialist- Life Insurance or Health Insurance)

Job Profile: Product Manager Open API platform

We're looking for Product Managers who will build next Gen Open API platform to be used by clients as Platform-as-a-service for BFSI and other industries.

Verticals: Fintech (Insurance, Lending, Banking, Wealth Management) and AgriTech

Were looking for exciting product manager from Life/Health Insurance Domain who can see the big picture of where financial technology is headed and is passionate about solving problems while creating an exceptional customer and user experience. This is a high-growth space and a big opportunity role that needs an entrepreneurial-minded product creator. You will have full ownership and responsibility through the product life cycle from customer feedback, product strategy, roadmap prioritization, development and measurement of adoption.

What You Will Do:-

- Devise Product Strategy: Define both long-term strategy and quarterly roadmap to achieve the product vision and create impact.

- Conceptualize new solutions: Product Conceptualization with a problem first, data-driven, test& iterate approach.

- Strategic view: Ensures conceptualization from a platform and a long-term view. Drive innovation, definition, deliverables planning (roadmap) and design of investment products and features to deliver aligning with company goals.

- Product specification & Prioritization: Ensures value-based prioritization of product initiatives& produce high-quality product specifications. Responsible for project execution including stakeholder management

- Go to Market: Draft and execute a go-to-market plan in conjunction with marketing and engineering teams, interact with clients to fine-tune platform roadmap and help in business acquisition.

Were looking for people who :

- Have strong domain and tech understanding, 1year to 5 year of experience pre- MBA and Enjoy working in a start-up environment, with proven ability to innovate.

- Would be excited to work in a small team that collaborates, shares knowledge and empowers each other to succeed.

- Has strong blend of domain and technology experience in BFSI (Insurance, Lending, Banking and Capital Markets) and AgriTech or agility to learn

- Self-starter with a passion for independent, creative problem-solving, strong ownership, high commitment and a strong business judgment.

- MBA from premier institutes in India or overseas are preferred with proven academic track record.

- Prior & relevant experience in the Life Insurance and Health Insurance Domain are mandatory.

What you can expect ?

- As well as working alongside other friendly, passionate and talented people, you'll also get

- High energy start-up/Fintech environment , working on cutting edge, first of a kind , scalable platforms

- High growth path and opportunity to be a part of young team

- ESOP plan for you to create wealth

- Working closely with founders and senior advisors/ mentors with global experience and grow as a leader of a business vertical or geography within a short span of time.

- Important Note- This requirement is an urgent requirement and we are looking for some who can join immediately or max in 30days.

Who we are?

www.1silverbullet.tech is an upcoming API infrastructure platform starts up with strong financial backing and client relationships. Our founding team consists of industry veterans and startup founders with highly successful scaling up experience who have together over 80 years+ of experience in leading and building successful companies. Based out of Mumbai and Bangalore we are challenging the status quo on how new age companies (Fintech, Insurtech, E-Com, EdTech and Agri-Tech) build their products and large organization achieve digital transformation with innovative solutions with faster time to market.",15 Mar 2023,Sipra Sahu,Head HR & Admin at SilverBullet,SCM & Operations Jobs,Mumbai,1018,307,291
1228727,Product Manager - Trading Platform - Stock Broking Company (3-9 yrs),#IT Product Management #IT Jobs in BFSI,"We have an opening for Product Manager - Trading Platform with a Leading Stock Broking Company.

Location: Mumbai

Role:

- Product Manager will be responsible for understanding the trading & investment platform requirements, create workflows and coordinate with design, engineering, marketing & operations teams.

- Experience product manager who has worked on development of trading platform backend engine on digital platform i.e. mobile/web/exe application for Stock Broking Companies.

- Work experience on Order Management System (OMS) / Risk Management System (RMS) in

- Trading platform must.

Responsibilities:

- Design & own product roadmap and smooth execution of product life cycle process.

- Coordinate with internal business vertical to collect & analyses the requirement and transfer to development team with actionable plan.

- Develop & build strong relationship with key stakeholders.

- Own features and experiments end to end i.e. Includes writing product specifications, creating wireframes, driving cross-functional execution, making thoughtful product decisions and sharing the insights and outcome.

- Assist the team in creating prototypes fulfilling the specifications.

- Ability to drive UAT along with QA Team.

- Product owner for managing entire development cycle, from concept, design and development, through to launch and achieving business goals.

Desired Candidate Profile

- 4 years of product management experience working on Stock trading platforms.

Qualification:

- B.E/B.Tech and MBA in IT / Technology/ Finance would be added advantage

Technical Skills:

- Understanding & working experience with APIs.

- Thorough understanding of capital markets and trading products.

- Sound knowledge of derivatives and options trading.

Desired Attributes:

- Excellent communication skills & organizational skills.

- Good interpersonal skills with demonstrated abilities in networking with cross-functional teams.

- Ability to influence others Problem solving supported by both in and out of the box thinking.

- Strong team handling skills for quick execution and project closures.

- Updated knowledge of latest trends in Technology Platforms.",15 Mar 2023,Payal,Partner at Premier Consultants,IT & Systems Jobs,Mumbai,183,66,1
